Word,Definition,Part of Speech,Synonyms,Antonyms
committee,A group of people appointed for a specific function by a larger group and typically consisting of members of that group,noun,"board, panel","individual, person"
common,"Occurring, found, or done often; prevalent","adjective, noun","usual, typical","rare, uncommon"
commonly,Very often; frequently,adverb,"generally, often","rarely, seldom"
communicate,"Share or exchange information, news, or ideas","verb, noun","converse, convey","miscommunicate, confuse"
communication,The imparting or exchanging of information or news,noun,"conversation, dialogue","miscommunication, silence"
community,A group of people living in the same place or having a particular characteristic in common,"noun, adjective","society, group","individual, person"
company,A commercial business,"noun, verb","business, corporation",none
compare,"Estimate, measure, or note the similarity or dissimilarity between","verb, noun","contrast, evaluate",none
comparison,The act or instance of comparing,noun,"contrast, evaluation",none
compete,Strive to gain or win something by defeating or establishing superiority over others,"verb, noun","contend, vie","cooperate, assist"
competition,The activity or condition of striving to gain or win something by defeating or establishing superiority over others,noun,"contest, rivalry","collaboration, cooperation"
competitive,As good as or better than others of a comparable nature,"adjective, noun","ambitious, driven","uncompetitive, unambitious"
complain,Express dissatisfaction or annoyance about something,"verb, noun","protest, grumble","praise, compliment"
complaint,A statement that something is unsatisfactory or unacceptable,"noun, verb","grievance, objection","praise, approval"
complete,Having all the necessary or appropriate parts,"verb, adjective","finish, accomplish","incomplete, partial"
completely,Totally; utterly,adverb,"entirely, fully","partially, incompletely"
complex,Consisting of many different and connected parts,"adjective, noun","complicated, intricate","simple, straightforward"
complicate,Make (something) more difficult or confusing by causing it to be more complex,"verb, noun","confuse, entangle","simplify, clarify"
complicated,Consisting of many interconnecting parts or elements; intricate,adjective,"intricate, complex","simple, straightforward"
computer,"An electronic device for storing and processing data, typically in binary form, according to instructions given to it in a variable program","noun, verb","PC, laptop",none
concentrate,Focus all one's attention on a particular object or activity,"verb, noun","focus, center","ignore, disregard"
concentrate on,Focus all one's attention or mental effort on a particular object or activity,phrasal verb,"focus on, attend to","ignore, neglect"
concentration,The action or power of focusing one's attention or mental effort,noun,"focus, attention","distraction, inattention"
concept,An abstract idea; a general notion,"noun, verb","idea, notion","reality, fact"
concern,Relate to; be about,"verb, noun","involve, affect","ignore, dismiss"
concerned,"Worried, troubled, or anxious",adjective,"worried, anxious","unconcerned, indifferent"
concerning,On the subject of or in connection with; about,"preposition, verb","regarding, about",none
concert,"A musical performance given in public, typically by several performers or of several separate compositions","noun, verb","performance, recital",none
conclude,Bring (something) to an end,"verb, noun","finish, end","start, begin"
conclusion,The end or finish of an event or process,noun,"end, outcome","beginning, start"
concrete,Existing in a material or physical form; not abstract,"noun, adjective","tangible, real","abstract, immaterial"
condition,"The state of something with regard to its appearance, quality, or working order","noun, verb","state, shape","disrepair, neglect"
conduct,Organize and carry out,"verb, noun","manage, direct","mismanage, neglect"
conference,A formal meeting for discussion,"noun, verb","meeting, seminar","conversation, chat"
confidence,The feeling or belief that one can rely on someone or something; firm trust,noun,"trust, belief","doubt, mistrust"
confident,Feeling or showing confidence in oneself; self-assured,adjective,"self-assured, assured","insecure, unsure"
confine,"Keep or restrict someone or something within certain limits of (space, scope, quantity, or time)","verb, noun","restrict, limit","free, release"
confined,Restricted in area or volume; cramped,adjective,"restricted, limited","unconfined, free"
confirm,"Establish the truth or correctness of (something previously believed, suspected, or feared to be the case)","verb, noun","verify, validate","deny, refute"
conflict,"A serious disagreement or argument, typically a protracted one","noun, verb","dispute, disagreement","agreement, harmony"
confront,Face up to and deal with (a problem or difficult situation),"verb, noun","face, address","avoid, evade"
confuse,Cause (someone) to become bewildered or perplexed,"verb, noun","bewilder, perplex","clarify, explain"
confused,Unable to think clearly; bewildered,adjective,"bewildered, perplexed","clear, certain"
confusing,Bewildering or perplexing,adjective,"perplexing, baffling","clear, straightforward"
confusion,Lack of understanding; uncertainty,noun,"uncertainty, bewilderment","clarity, certainty"
congratulate,Give (someone) one's good wishes when something special or pleasant has happened to them,"verb, noun","praise, commend","criticize, blame"
congratulation,An expression of praise for an achievement or good wishes on a special occasion,noun,"praise, applause","criticism, blame"
congress,A formal meeting or assembly of representatives for discussion and action on particular matters,"noun, verb","assembly, conference",none
connect,Bring together or into contact so that a real or notional link is established,"verb, noun","link, join","disconnect, separate"
connected,Brought together or into contact so that a link is established,"adjective, verb","linked, joined","disconnected, separate"
connection,A relationship in which a person or thing is linked or associated with something else,"noun, verb","relationship, association","disconnection, separation"
conscious,Aware of and responding to one's surroundings,adjective,"aware, alert","unaware, unconscious"
consequence,A result or effect of an action or condition,"noun, verb","result, effect","cause, source"
conservative,Holding to traditional attitudes and values and cautious about change or innovation,"adjective, noun","traditional, cautious","progressive, liberal"
consider,"Think carefully about (something), typically before making a decision","verb, noun","think, contemplate","ignore, disregard"
considerable,"Notably large in size, amount, or extent","adjective, noun","significant, substantial","insignificant, minor"
considerably,By a notably large amount or to a notably large extent; greatly,adverb,"greatly, significantly","slightly, insignificantly"
consideration,"Careful thought, typically over a period of time",noun,"thought, deliberation","disregard, neglect"
consist,Be composed or made up of,"verb, noun","be made up of, be composed of","exclude, eliminate"
consist of,Be composed or made up of,phrasal verb,"be made up of, be composed of","exclude, eliminate"
constant,Occurring continuously over a period of time,"adjective, noun","continuous, perpetual","intermittent, occasional"
constantly,Continuously over a period of time; always,adverb,"always, perpetually","rarely, infrequently"
construct,"Build or erect (something, typically a building, road, or machine)","verb, noun","build, erect","destroy, demolish"
construction,"The action of building something, typically a large structure","noun, verb","building, erection","demolition, destruction"
consult,Seek information or advice from (someone with expertise in a particular area),"verb, noun","seek advice, confer","ignore, neglect"
consumer,A person who purchases goods and services for personal use,"noun, verb","buyer, customer","seller, provider"
contact,The state or condition of physical touching,"noun, verb","touch, connection","separation, distance"
contain,Have or hold (someone or something) within,"verb, noun","include, hold","exclude, omit"
container,An object that can be used to hold or transport something,"noun, verb","receptacle, holder",none
contemporary,Living or occurring at the same time,"adjective, noun","modern, current","ancient, old"
content,In a state of peaceful happiness,"adjective, noun","satisfied, pleased","discontent, unhappy"
contest,"An event in which people compete for supremacy in a sport, activity, or particular quality","noun, verb","competition, challenge","cooperation, agreement"
context,"The circumstances that form the setting for an event, statement, or idea, and in terms of which it can be fully understood and assessed","noun, adjective","circumstances, background","isolation, separation"
continent,"Any of the world's main continuous expanses of land (Europe, Asia, Africa, North and South America, Australia, Antarctica)","noun, adjective","landmass, territory","island, ocean"
continue,Persist in an activity or process,"verb, noun","persist, proceed","stop, discontinue"
continuous,Forming an unbroken whole; without interruption,"adjective, noun","uninterrupted, constant","intermittent, sporadic"
continuously,Without interruption or gaps,adverb,"constantly, perpetually","intermittently, sporadically"
contract,"A written or spoken agreement, especially one concerning employment, sales, or tenancy, that is intended to be enforceable by law","noun, verb","agreement, deal","disagreement, dispute"
contrast,The state of being strikingly different from something else in juxtaposition or close association,"noun, verb","difference, disparity","similarity, resemblance"
contrasting,Differing strikingly,"adjective, verb","differing, opposite","similar, alike"
contribute,"Give (something, especially money) in order to help achieve or provide something","verb, noun","donate, give","withdraw, take"
contribution,A gift or payment to a common fund or collection,"noun, verb","donation, input","withdrawal, detract"
control,The power to influence or direct people's behavior or the course of events,"noun, verb","management, oversight","chaos, disorder"
controlled,Determined by someone in authority to be such,"adjective, verb","regulated, directed","uncontrolled, unmanaged"
convenient,"Fitting in well with a person's needs, activities, and plans","adjective, noun","suitable, handy","inconvenient, unsuitable"
convention,"A way in which something is usually done, especially within a particular area or activity","noun, verb","custom, practice","disruption, deviation"
conventional,Based on or in accordance with what is generally done or believed,"adjective, noun","traditional, usual","unconventional, unusual"
conversation,"A talk, especially an informal one, between two or more people, in which news and ideas are exchanged","noun, verb","discussion, dialogue","monologue, silence"
convert,"Change the form, character, or function of something","verb, noun","transform, change","keep, retain"
convince,Cause (someone) to believe firmly in the truth of something,"verb, noun","persuade, assure","dissuade, discourage"
cook,"Prepare (food, a dish, or a meal) by combining and heating the ingredients","verb, noun","prepare, make","burn, ruin"
cooker,A person employed to prepare food in a restaurant,noun,"chef, cook",none
cookie,"A small flat, sweet cake",noun,"biscuit, treat",none
cooking,"The practice or skill of preparing food by combining, mixing, and heating ingredients","noun, verb","culinary, food preparation",none
cool,Of or at a fairly low temperature,"adjective, verb","chilly, cold","warm, hot"
cool down,Become less hot,phrasal verb,"cool off, cool","heat up, warm up"
cope,Deal effectively with something difficult,"verb, noun","manage, handle","struggle, fail"
copy,A thing made to be similar or identical to another,"noun, verb","replica, duplicate","original, unique"
core,The central or most important part of something,"noun, verb","center, essence","periphery, exterior"
corner,A place or angle where two or more sides or edges meet,"noun, verb","nook, angle","middle, center"
correct,Free from error; in accordance with fact or truth,"adjective, verb","right, accurate","wrong, incorrect"
correctly,In a way that is free from error or in accordance with fact or truth,adverb,"rightly, accurately","incorrectly, wrongly"
cost,An amount that has to be paid or spent to buy or obtain something,"noun, verb","price, expense","profit, gain"
cottage,"A small simple house, typically one near a lake or beach","noun, verb","cabin, hut","mansion, palace"
cotton,A soft white fibrous substance that surrounds the seeds of the cotton plant and is used as textile fiber and thread for sewing,"noun, adjective","fiber, textile","synthetic, polyester"
cough,Expel air from the lungs with a sudden sharp sound,"verb, noun","hack, clear throat",none
could,"Past form of can, used to indicate possibility","verb, noun","might, would","cannot, won't"
council,"An advisory, deliberative, or legislative body of people formally constituted and meeting regularly","noun, verb","committee, assembly","individual, person"
count,Determine the total number of (a collection of items),"verb, noun","enumerate, tally","estimate, guess"
counter,A long flat-topped fixture in a store or bank across which business is conducted with customers,"noun, verb","worktop, table",none
count on,Rely on,phrasal verb,"depend on, rely","doubt, mistrust"
country,"A nation with its own government, occupying a particular territory","noun, verb","nation, state","city, metropolis"
countryside,The land and scenery of a rural area,"noun, verb","rural area, farmland","urban area, cityscape"
county,"A territorial division of some countries, forming the chief unit of local administration","noun, verb","district, region",none
couple,Two individuals of the same sort considered together,"noun, verb","pair, duo","individual, single"
courage,The ability to do something that frightens one; bravery,"noun, verb","bravery, valor","fear, cowardice"
course,"The route or direction followed by a ship, aircraft, road, or river","noun, verb","path, direction",none
court,"A tribunal presided over by a judge, judges, or a magistrate in civil and criminal cases","noun, verb","tribunal, judiciary",none
cousin,A child of one's uncle or aunt,noun,"relative, kin",none
cover,Put something such as a cloth or lid on top of or in front of (something) in order to protect or conceal it,"verb, noun","hide, conceal","uncover, reveal"
covered,Having a covering,"adjective, verb","sheltered, concealed","bare, exposed"
covering,The action or fact of covering something,"noun, verb","coating, layer","exposure, revelation"
cover up,Conceal something illicit or damaging,phrasal verb,"conceal, hide","reveal, uncover"
cow,"A fully grown female animal of a domesticated breed of ox, kept to produce milk or beef","noun, verb","bovine, heifer","bull, steer"
crack,A line on the surface of something along which it has split without breaking apart,"noun, verb","split, fracture",none
cracked,Damaged and showing lines on the surface from having split without coming apart,"adjective, verb","fractured, broken","unbroken, intact"
craft,An activity involving skill in making things by hand,"noun, verb","skill, trade","clumsiness, ineptitude"
crash,"A violent collision, typically of one vehicle with another or an object","verb, noun","collision, accident","avoid, miss"
crazy,"Mentally deranged, especially as manifested in a wild or aggressive way","adjective, noun","insane, mad","sane, rational"
cream,The thick white or pale yellow fatty liquid which rises to the top when milk is left to stand and which can be skimmed off and used in cooking,"noun, verb","dairy product, froth",none
create,Bring (something) into existence,"verb, noun","generate, produce","destroy, ruin"
creature,"An animal, as distinct from a human being",noun,"being, life form","human, person"
credit,"The ability of a customer to obtain goods or services before payment, based on the trust that payment will be made in the future","noun, verb","loan, trust","debt, deficit"
credit card,"A small plastic card issued by a bank, business, etc., allowing the holder to purchase goods or services on credit",noun,"charge card, plastic money",debit card
crime,An action or omission that constitutes an offense that may be prosecuted by the state and is punishable by law,"noun, verb","offense, felony","innocence, legality"
criminal,A person who has committed a crime,"noun, adjective","offender, lawbreaker","law-abiding citizen, innocent"
crisis,"A time of intense difficulty, trouble, or danger","noun, verb","emergency, catastrophe","stability, calm"
crisp,"Firm, dry, and brittle, especially in a way considered pleasing or attractive","adjective, noun","crunchy, brittle","soft, soggy"
criterion,A principle or standard by which something may be judged or decided,noun,"standard, benchmark",none
critical,Expressing adverse or disapproving comments or judgments,"adjective, noun","judgmental, disapproving","praising, approving"
criticism,The expression of disapproval of someone or something based on perceived faults or mistakes,noun,"disapproval, critique","praise, approval"
criticize,Indicate the faults of (someone or something) in a disapproving way,"verb, noun","find fault with, condemn","praise, commend"
crop,"A cultivated plant that is grown as food, especially a grain, fruit, or vegetable","noun, verb","produce, yield","weed, pest"
cross,"Go or extend across or to the other side of (a path, road, stretch of water, or area)","verb, noun","traverse, pass over","follow, stay"
cross out,Draw a line through (something written) so as to make it no longer readable,phrasal verb,"strike through, delete","underline, highlight"
crowd,A large number of people gathered together in a disorganized or unruly way,"noun, verb","throng, horde","solitude, emptiness"
crowded,Having a large number of people in a small area,"adjective, verb","packed, congested","spacious, empty"
crown,"A circular ornamental headdress worn by a monarch as a symbol of authority, usually made of or decorated with precious metals and jewels","noun, verb","diadem, coronet",none
crucial,"Decisive or critical, especially in the success or failure of something","adjective, noun","essential, vital","trivial, unimportant"
cruel,"Wilfully causing pain or suffering to others, or feeling no concern about it","adjective, noun","heartless, brutal","kind, compassionate"
crush,"Deform, pulverize, or force inwards by compressing forcefully","verb, noun","squeeze, squash","release, free"
cry,"Shed tears, typically as an expression of distress, pain, or sorrow","verb, noun","weep, sob","laugh, smile"
cry out,"Shout or scream, especially to express strong emotion or pain",phrasal verb,"scream, yell","whisper, murmur"
cultural,"Relating to the ideas, customs, and social behavior of a society","adjective, noun","ethnic, societal",none
culture,The arts and other manifestations of human intellectual achievement regarded collectively,"noun, verb","civilization, heritage","barbarism, ignorance"
cup,"A small bowl-shaped container for drinking from, typically having a handle","noun, verb","mug, goblet","bowl, dish"
cupboard,"A cabinet or small recess with a door and typically shelves, used for storage","noun, verb","cabinet, closet","open shelf, table"
cure,Relieve (a person or animal) of the symptoms of a disease or condition,"verb, noun","heal, remedy","ail, sicken"
curious,Eager to know or learn something,"adjective, noun","inquisitive, interested","indifferent, uninterested"
curiously,In a manner showing eager interest or wanting to know,adverb,"inquiringly, interestedly","indifferently, uninterestedly"
curl,Form or cause to form into a curved or spiral shape,"verb, noun","coil, twist","straighten, flatten"
curl up,Sit or lie with the knees drawn up,phrasal verb,"snuggle, nestle","straighten up, unfold"
curly,"Having a twisted, ring, or spiral shape","adjective, noun","wavy, ringlet","straight, flat"
current,Belonging to the present time; happening or being used or done now,"adjective, noun","present, modern","past, old"
currently,At the present time,adverb,"presently, now","formerly, previously"
curtain,"A piece of material suspended at the top to form a screen, typically movable sideways along a rail and found as one of a pair at a window","noun, verb","drape, screen","open space, bare window"
curve,A line or outline which gradually deviates from being straight for some or all of its length,"noun, verb","bend, arc","straight line, linear"
curved,Having a round or smoothly bending shape,"adjective, verb","arched, rounded","straight, linear"
custom,"A traditional and widely accepted way of behaving or doing something that is specific to a particular society, place, or time","noun, verb","tradition, practice","innovation, deviation"
customer,A person who buys goods or services from a shop or business,noun,"client, shopper","vendor, seller"
customs,The official department that administers and collects the duties levied by a government on imported goods,noun,"border control, import tax",none
cut,"Make an opening, incision, or wound in (something) with a sharp-edged tool or object","verb, noun","slice, chop","mend, repair"
cut back,Reduce the amount or quantity of,phrasal verb,"reduce, decrease","increase, expand"
cut down,Cause to fall by cutting,phrasal verb,"fell, chop down","plant, grow"
cut off,Remove something by or as if by cutting,phrasal verb,"sever, detach","attach, connect"
cut out,"Remove, exclude, or stop doing something",phrasal verb,"remove, eliminate","include, add"
cut up,Cut something into smaller pieces,phrasal verb,"chop, dice","assemble, combine"
cycle,A series of events that are regularly repeated in the same order,"noun, verb","sequence, series","disorder, chaos"
daily,"Happening, done, or produced every day","adjective, noun","everyday, regular","occasional, rare"
damage,"Physical harm that impairs the value, usefulness, or normal function of something","noun, verb","harm, injury","repair, fix"
damp,Slightly wet,"adjective, noun","moist, humid","dry, arid"
dance,"Move rhythmically to music, typically following a set sequence of steps","verb, noun","move, sway","stand still, freeze"
dancer,A person who dances or whose profession is dancing,"noun, verb","performer, ballet dancer","spectator, viewer"
dancing,The activity of dancing for pleasure or as a profession,"noun, adjective","ballet, movement","stillness, inactivity"
danger,The possibility of suffering harm or injury,"noun, verb","risk, hazard","safety, security"
dangerous,Able or likely to cause harm or injury,"adjective, noun","risky, hazardous","safe, secure"
dare,Have the courage to do something,"verb, noun","brave, challenge","fear, shun"
dark,With little or no light,"adjective, noun","dim, black","bright, light"
data,Facts and statistics collected together for reference or analysis,noun,"information, statistics",none
date,The day of the month or year as specified by a number,"noun, verb","day, appointment",none
date back,Exist since a particular time in the past,phrasal verb,"go back, originate",none
daughter,A female child in relation to her parents,"noun, verb","girl, child","son, boy"
day,A period of 24 hours as a unit of time,"noun, verb","24 hours, daytime","night, evening"
dead,No longer alive,"adjective, noun","deceased, lifeless","alive, living"
deaf,Lacking the power of hearing or having impaired hearing,"adjective, noun","hearing-impaired, unhearing","hearing, sound"
deal,Distribute (cards) in an orderly rotation to the players for a game or round,"verb, noun","distribute, arrange","collect, gather"
deal in,Buy and sell (a particular product),phrasal verb,"trade, sell",none
deal with,"Take measures concerning (someone or something), especially with the intention of putting something right",phrasal verb,"manage, handle","ignore, neglect"
dear,Regarded with deep affection,"adjective, noun","beloved, cherished","unloved, indifferent"
death,The end of the life of a person or organism,"noun, adjective","demise, passing","birth, life"
debate,"A formal discussion on a particular matter in a public meeting or legislative assembly, in which opposing arguments are put forward","noun, verb","discussion, argument","agreement, accord"
debt,"Something, typically money, that is owed or due","noun, verb","liability, arrears","credit, asset"
decade,A period of ten years,"noun, verb","ten years, 10-year period",none
decay,The state or process of rotting or decomposition,"noun, verb","decomposition, rot","growth, improvement"
December,The twelfth month of the year,noun,twelfth month,none
decide,Come to a resolution in the mind as a result of consideration,"verb, noun","determine, choose","hesitate, waver"
decide on,Choose from a number of alternatives,phrasal verb,"select, opt for",none
decision,A conclusion or resolution reached after consideration,"noun, verb","resolution, conclusion","indecision, hesitation"
declare,Say something in a solemn and emphatic manner,"verb, noun","announce, proclaim","deny, retract"
decline,"Become smaller, fewer, or less; decrease","verb, noun","diminish, reduce","increase, rise"
decorate,Make (something) look more attractive by adding extra items or images to it,"verb, noun","adorn, embellish","spoil, deface"
decoration,The process or art of decorating or adorning something,"noun, verb","ornamentation, adornment",none
decorative,Serving to make something look more attractive; ornamental,"adjective, noun","ornamental, beautifying","plain, functional"
decrease,"Make or become smaller or fewer in size, amount, intensity, or degree","verb, noun","reduce, diminish","increase, rise"
deep,Extending far down from the top or surface,"adjective, noun","profound, bottomless","shallow, superficial"
deeply,At or to a considerable extent downward,adverb,"profoundly, strongly","slightly, lightly"
defeat,Win a victory over (someone) in a battle or other contest; overcome or beat,"verb, noun","conquer, overcome","surrender, lose"
defence,The action of defending from or resisting attack,"noun, verb","protection, shield","attack, offense"
defend,Resist an attack made on (someone or something); protect from harm or danger,"verb, noun","protect, guard","attack, abandon"
define,"State or describe exactly the nature, scope, or meaning of","verb, noun","explain, describe","confuse, obscure"
definite,Clearly stated or decided; not vague or doubtful,"adjective, noun","certain, clear","indefinite, uncertain"
definitely,Without doubt (used for emphasis),adverb,"certainly, surely","doubtfully, uncertainly"
definition,"A statement of the exact meaning of a word, especially in a dictionary","noun, verb","meaning, explanation",misdefinition
degree,"The amount, level, or extent to which something happens or is present","noun, verb","level, extent",none
delay,Make (someone or something) late or slow,"verb, noun","postpone, defer","advance, hasten"
deliberate,Done consciously and intentionally,"adjective, verb","intentional, planned","accidental, unplanned"
deliberately,In a careful and unhurried way,adverb,"intentionally, purposefully","accidentally, unintentionally"
delicate,Very fine in texture or structure; of intricate workmanship or quality,"adjective, noun","fragile, fine","coarse, sturdy"
delight,Great pleasure,"noun, verb","joy, pleasure","displeasure, sadness"
delighted,Feeling or showing great pleasure,"adjective, verb","pleased, happy","displeased, unhappy"
deliver,"Bring and hand over (a letter, parcel, or goods) to the proper recipient or address","verb, noun","hand over, bring","retain, keep"
delivery,"The action of delivering letters, parcels, or goods","noun, verb","distribution, dispatch",none
demand,"An insistent and peremptory request, made as if by right","noun, verb","request, need","supply, grant"
demonstrate,Clearly show the existence or truth of (something) by giving proof or evidence,"verb, noun","show, exhibit","conceal, hide"
dentist,A person qualified to treat the diseases and conditions that affect the teeth and gums,noun,"oral surgeon, tooth doctor",none
deny,State that one refuses to admit the truth or existence of,"verb, noun","reject, refuse","accept, admit"
department,"A division of a large organization such as a government, university, business, or shop, dealing with a specific area of activity","noun, verb","division, section","whole, entirety"
departure,"The action of leaving, especially to start a journey","noun, verb","exit, leaving","arrival, coming"
depend,Be controlled or determined by,"verb, noun","rely, count","independent, self-reliant"
depend on,Be able to trust; rely on,phrasal verb,"rely on, trust","distrust, doubt"
deposit,"A sum of money placed or kept in a bank account, usually to gain interest","noun, verb","saving, investment","withdrawal, disbursement"
depress,Make (someone) feel utterly dispirited or dejected,"verb, noun","dishearten, sadden","encourage, uplift"
depressed,In a state of general unhappiness or despondency,"adjective, verb","despondent, sad","happy, cheerful"
depressing,Causing a feeling of misery or despondency,"adjective, verb","bleak, gloomy","cheerful, uplifting"
depth,The distance from the top or surface to the bottom of something,"noun, verb","deepness, profundity",shallowness
derive,Obtain something from (a specified source),"verb, noun","extract, obtain",none
derive from,Obtain something from (a specified source),phrasal verb,"originate from, come from",none
describe,Give a detailed account in words of,"verb, noun","explain, depict","confuse, distort"
description,"A spoken or written account of a person, object, or event","noun, verb","account, depiction",misdescription
desert,"Abandon (a person, cause, or organization) in a way considered disloyal or treacherous","verb, noun","abandon, forsake","support, remain"
deserted,Empty of people,"adjective, verb","empty, abandoned","crowded, inhabited"
deserve,Do something or have or show qualities worthy of (reward or punishment),"verb, noun","earn, merit","unworthy, lose"
design,"A plan or drawing produced to show the look and function or workings of a building, garment, or other object before it is made","noun, verb","plan, blueprint","disorganize, disorder"
desire,A strong feeling of wanting to have something or wishing for something to happen,"noun, verb","wish, craving","disinterest, aversion"
desk,"A piece of furniture with a flat or sloped surface and typically with drawers, used for writing, reading, or working","noun, verb","table, workstation",none
desperate,Feeling or showing a hopeless sense that a situation is so bad as to be impossible to deal with,"adjective, verb","hopeless, despairing","hopeful, optimistic"
desperately,In a way that shows despair,adverb,"hopelessly, despairingly","hopefully, optimistically"
despite,Without being affected by; in spite of,preposition,"in spite of, notwithstanding","because of, due to"
destroy,Put an end to the existence of (something) by damaging or attacking it,"verb, noun","ruin, demolish","build, create"
destruction,The action or process of causing so much damage to something that it no longer exists or cannot be repaired,"noun, verb","demolition, ruin","construction, creation"
detail,"An individual feature, fact, or item","noun, verb","aspect, feature",generalization
detailed,Having many details or facts; showing attention to detail,"adjective, verb","thorough, comprehensive","vague, general"
determination,Firmness of purpose; resoluteness,"noun, verb","resolve, perseverance","indecision, hesitation"
determine,"Ascertain or establish exactly, typically as a result of research or calculation","verb, noun","decide, establish","misjudge, overlook"
determined,Having made a firm decision and being resolved not to change it,"adjective, verb","resolute, resolute","indecisive, hesitant"
develop,"Grow or cause to grow and become more mature, advanced, or elaborate","verb, noun","expand, grow","decline, regress"
development,The process of developing or being developed,"noun, verb","advancement, growth","stagnation, halt"
device,"A thing made or adapted for a particular purpose, especially a piece of mechanical or electronic equipment","noun, verb","gadget, tool",none
devote,"Give all or a large part of one's time or resources to (a person, activity, or cause)","verb, noun","dedicate, allocate","neglect, ignore"
devoted,Very loving or loyal,"adjective, verb","loyal, faithful","disloyal, unfaithful"
devote to,Give one's time or effort to (a person or purpose),phrasal verb,"dedicate to, commit to","neglect, ignore"
diagram,"A simplified drawing showing the appearance, structure, or workings of something; a schematic representation","noun, verb","chart, schematic",none
diamond,"A precious stone consisting of a clear and typically colorless crystalline form of pure carbon, the hardest naturally occurring substance","noun, verb","gem, jewel",none
diary,A book in which one keeps a daily record of events and experiences,"noun, verb","journal, log",none
dictionary,"A book or electronic resource that lists the words of a language (typically in alphabetical order) and gives their meaning, or gives the equivalent words in a different language","noun, verb","lexicon, glossary",none
die,Stop living,"verb, noun","pass away, expire","live, survive"
die away,Gradually diminish in sound or intensity,phrasal verb,"fade, diminish","increase, intensify"
die out,Become extinct,phrasal verb,"become extinct, vanish","thrive, survive"
diet,"The kinds of food that a person, animal, or community habitually eats","noun, verb","nutrition, regimen",none
difference,A point or way in which people or things are not the same,"noun, verb","discrepancy, distinction","similarity, sameness"
different,Not the same as another or each other,"adjective, verb","distinct, dissimilar","same, similar"
differently,In a way that is not the same,adverb,"alternatively, variously","similarly, alike"
difficult,"Needing much effort or skill to accomplish, deal with, or understand","adjective, noun","challenging, hard","easy, simple"
difficulty,The state or condition of being difficult,"noun, verb","challenge, struggle","ease, simplicity"
dig,"Break up and move earth with a tool or machine, or with hands, paws, snout, etc.","verb, noun","excavate, delve","fill, cover"
digital,Involving or relating to the use of computer technology,"adjective, noun","electronic, computerized",analog
dinner,"The main meal of the day, taken either around midday or in the evening","noun, verb","meal, supper","breakfast, lunch"
direct,Extending or moving from one place to another without changing direction or stopping,"adjective, verb","straight, straightforward","indirect, roundabout"
direction,A course along which someone or something moves,"noun, verb","route, path","disorientation, confusion"
directly,Without changing direction or stopping,adverb,"straight, immediately","indirectly, circuitously"
director,"A person who is in charge of an activity, department, or organization","noun, verb","manager, head","subordinate, employee"
dirt,"A substance, such as soil, that makes something dirty","noun, verb","soil, grime","cleanliness, purity"
dirty,Covered or marked with an unclean substance,"adjective, verb","filthy, unclean","clean, spotless"
disabled,"Having a physical or mental condition that limits movements, senses, or activities","adjective, noun","handicapped, impaired","abled, capable"
disadvantage,An unfavorable circumstance or condition that reduces the chances of success or effectiveness,"noun, verb","drawback, obstacle","advantage, benefit"
disagree,Have or express a different opinion,"verb, noun","differ, oppose","agree, concur"
disagreement,Lack of consensus or approval,"noun, verb","conflict, dispute","agreement, consensus"
disappear,Cease to be visible,"verb, noun","vanish, fade","appear, emerge"
disappoint,Fail to fulfill the hopes or expectations of,"verb, noun","let down, fail","satisfy, fulfill"
disappointed,Sad or displeased because someone or something has failed to fulfill one's hopes or expectations,"adjective, verb","dismayed, disheartened","pleased, satisfied"
disappointing,Failing to fulfill someone's hopes or expectations,"adjective, verb","unsatisfactory, discouraging","satisfactory, fulfilling"
disappointment,Sadness or displeasure caused by the non-fulfillment of one's hopes or expectations,"noun, verb","letdown, setback","satisfaction, fulfillment"
disapproval,Possession or expression of an unfavorable opinion,"noun, verb","criticism, dislike","approval, praise"
disapprove,Have or express an unfavorable opinion about something,"verb, noun","condemn, reject","approve, endorse"
disapproving,Expressing an unfavorable opinion,"adjective, verb","critical, disfavoring","approving, favorable"
disaster,"A sudden event, such as an accident or a natural catastrophe, that causes great damage or loss of life","noun, verb","calamity, catastrophe","miracle, blessing"
disc,"A flat, thin, round object","noun, verb","plate, platter",none
discipline,"The practice of training people to obey rules or a code of behavior, using punishment to correct disobedience","noun, verb","control, training","chaos, disorder"
discount,A deduction from the usual cost of something,"noun, verb","reduction, rebate","surcharge, premium"
discover,Find (something or someone) unexpectedly or in the course of a search,"verb, noun","uncover, find","lose, overlook"
discovery,The action or process of discovering or being discovered,"noun, verb","revelation, finding","loss, concealment"
discuss,Talk about (something) with another person or group of people,"verb, noun","debate, converse","ignore, neglect"
discussion,The action or process of talking about something,"noun, verb","conversation, dialogue","agreement, consensus"
disease,"A disorder of structure or function in a human, animal, or plant, especially one that produces specific signs or symptoms or that affects a specific location and is not simply a direct result of physical injury","noun, verb","illness, ailment","health, wellness"
disgust,A feeling of revulsion or strong disapproval aroused by something unpleasant or offensive,"noun, verb","revulsion, loathing","attraction, approval"
disgusted,Feeling or expressing revulsion or strong disapproval,"adjective, verb","repulsed, appalled","pleased, delighted"
disgusting,Arousing revulsion or strong indignation,"adjective, verb","revolting, repulsive","pleasant, appealing"
dish,"A shallow, typically flat-bottomed container for cooking or serving food","noun, verb","plate, bowl",none
